url,title,domain,language,sourcecountry,error,timestamp
https://legalinsurrection.com/2026/03/after-antisemitism-spike-under-mamdani-nypd-revises-how-it-reports-hate-crimes-data/,"After Antisemitism Spike Under Mamdani , NYPD Revises How It Reports Hate Crimes Data",legalinsurrection.com,English,United States,httpx/requests 错误: Client error '403 Forbidden' for url 'https://lega,2026-03-16T13:04:22.055729
https://korrespondent.net/ukraine/4862590-napadenye-na-sudui-v-dnepre-podrobnosty-ot-polytsyy,Нападение на судью в Днепре : подробности от полиции,korrespondent.net,Russian,Ukraine,httpx/requests 错误: Client error '403 Forbidden' for url 'https://korr,2026-03-16T13:04:27.638147
https://www.stern.de/gesellschaft/regional/sachsen-anhalt/kriminalitaet--messerattacke-bei-streit-in-halle---mann-schwer-verletzt-37223388.html,Kriminalität : Messerattacke bei Streit in Halle - Mann schwer verletzt,stern.de,German,Germany,httpx/requests 错误: [Errno 99] Cannot assign requested address,2026-03-16T13:04:59.717294
https://www.yenisafak.com/gundem/bakan-goktas-islamofobi-yalnizca-bir-onyargi-degil-acik-bir-ayrimcilik-ve-nefret-sucudur-4806235,"Bakan Göktaş : İslamofobi yalnızca bir önyargı değil , açık bir ayrımcılık ve nefret suçudur",yenisafak.com,Turkish,Turkey,httpx/requests 错误: [Errno 99] Cannot assign requested address,2026-03-16T13:05:31.828521
https://www.weser-kurier.de/landkreis-diepholz/stadt-syke/syke-stadtbibliothek-wird-fuer-true-crime-vortrag-zum-tatort-doc84zj9mezuz9i01mzd3s,Syke : Stadtbibliothek wird für True - Crime - Vortrag zum Tatort,weser-kurier.de,German,Germany,httpx/requests 错误: [Errno 99] Cannot assign requested address,2026-03-16T13:06:05.020490
https://timesofindia.indiatimes.com/city/chennai/modern-day-nero-bjp-attacks-mk-stalin-over-rising-violence-against-women-in-tamil-nadu/articleshow/129586457.cms,  Modern - day Nero : BJP attacks MK Stalin over rising violence against women in Tamil Nadu | Chennai News,timesofindia.indiatimes.com,English,India,httpx/requests 错误: [Errno 99] Cannot assign requested address,2026-03-16T13:06:37.071571
https://www.correio24horas.com.br/brasil/moraes-autoriza-transferencia-de-condenados-no-caso-marielle-para-rj-0326,Moraes autoriza transferência de condenados no caso Marielle para RJ,correio24horas.com.br,Portuguese,Brazil,httpx/requests 错误: Client error '403 Forbidden' for url 'https://www.,2026-03-16T13:06:40.119575
https://screenrant.com/db/movie/family-movie/,"Family Movie Summary , Trailer , Cast , Where to Watch and More",screenrant.com,English,United States,httpx/requests 错误: Server disconnected without sending a response.,2026-03-16T13:06:42.933428
https://www.chinatimes.com/realtimenews/20260315002575-260402,狼叔魔爪伸向姪女 ！ 過年團聚竟兩度猥褻未滿14歲少女 遭重判3年8月 - 社會,chinatimes.com,Chinese,Taiwan,httpx/requests 错误: Client error '403 Forbidden' for url 'https://www.,2026-03-16T13:06:45.628383
https://www.vetogate.com/5614889,السجن 3 سنوات لمحام بتهمة سب وزيرة الثقافة,vetogate.com,Arabic,Egypt,httpx/requests 错误: Client error '403 Forbidden' for url 'https://www.,2026-03-16T13:06:52.960818
